WaterworksName;TotalFilters;MaxTypicalFlow;AverageFilterArea;AverageTypicalRunVolume;AverageBackwashVolume;PrimaryTrigger;AverageTotalFilterDepth;OverallFilterGrainSizeMin;OverallFilterGrainSizeMax;AverageFilterBedVolume;FilterExploitation;AerationType;OxygenFactor;Stage1HLR;TotalEBCT;Footprint;SumOfld_layer;UniformityCoefficient;UFRV;BW%;HLR_BW;TankCapacity;TankExploitation;GravityPressureMixed;Stages;AbstractedVolume
Asnæs Vandværk;6;50;6;5200;10;Time;;;;;57,88652968;Cascade;1,88;1,388888889;;143,3412038;;;866,6666667;0,414525347;;27,2947784;;Gravity;Single;253543
Assens Vandværk;4;110;4,908738521;300;28;Volume;310;0,8;5;15,21708942;63,52158572;Air injection;1,62;11,20450799;33,2;16,71441153;2891,666665;;40,74366543;23,00006208;30,55774907;2,576074917;;Pressure;Double;612094
Astrup Vandværk - Esbjerg;4;120;15,34389973;3800;83,3;Volume;190;2;35;28,9706295;64,90848554;Bottom aeration;2,213333333;3,935019776;28,97;44,69382235;759;1,491;249,2179191;2,192086388;32,79183146;21,82560038;;Gravity;Double;682318
Astrup Vandværk - Skjern;2;;16;1200;26;Volume;;;;;;Cascade;2,073333333;;;194,5880207;;;75;2,166906585;;12,55430005;;Gravity;Single;156998
Avernakø Vandværk;2;;1,494999886;250;4,5;Volume;;1,6;32;;;Cascade;1,313333333;;;412,3000236;;;167,2240931;1,818181818;;52,22056632;;Gravity;Single;6710
Bagterp Vandværk;12;215;14,29999924;2833,333333;30;Volume;;;;;70,18901986;Cascade;1,786666667;1,87937073;;86,53947524;;2,273;148,6014065;1,411788735;17,48251842;26,50649803;10,28571429;Gravity;Double;1321940
Benløse Rundings Vandværk;5;51;4;870;10,5;Volume;;;;;40,54772137;Cascade;1,406666667;12,75;;20,23277811;;;87,5;4,050212254;;4,835744765;35,71428571;Gravity;Double;181151
Billund Vandværk;7;112,17;6,61;3342,857143;23;Volume;159,2857143;0,8;5;10,52878571;77,54741152;Bottom aeration;1,94;4,242435703;39,43;40,82338482;102,0833323;;302,5718608;1,51734673;30,25718608;16,61207263;24,04692082;Pressure;Mixed;761988
Birkerød Vandforsyning;12;211;13,31666676;22000;19;Volume;100;0,8;35;13,29833344;66,71070571;Bottom aeration;1,66;2,604938272;45,38;61,62325757;475,3888889;;888,8888889;1,306268825;25,22522436;7,104311733;17,20930233;Gravity;Double;1233054
Boulstrup vandværk;2;118,1;10,17875966;5499,5;;Volume;300;1,6;8;30,53627898;35,2227429;Pure oxygen injection;1,673333333;11,60259245;31,02;27,28005033;1400,833297;;392,8769452;;39,29751889;19,23166639;44,01408451;Pressure;Double;364399
Bredkær Vandværk;6;175;12,05999994;5500;;Volume;;;;;59,1037182;Bottom aeration;2,026666667;4,820857075;;40,06423316;;1,372;454,5379528;;36,36303623;8,217998808;4,117647059;Gravity;Double;906060
Bunkedal Vandværk;4;149,92;10,75;2365;31;Time;;;;;37,89768546;Cascade;1,873333333;3,699901283;;76,34116333;;;233,4649556;1,299150107;;6,864238211;10,42203289;Gravity;Single;497710
Bøgildværket;3;110;8,042477433;3495,079452;34;Time;230;0,7;14;18,4976981;64,43690328;Bottom aeration;2,18;4,559125838;30,27;38,55164649;2372,142872;;434,5774646;0,999333241;31,0849489;14,10823399;22,64150943;Mixed;Single;620914
Børkop Vandværk;3;;10;2788;28;Time;180;1,7;8;18;;Bottom aeration;2,1;;;102,0797038;833,2352727;;278,8;0,97306767;34;22,24154675;21,28514056;Gravity;Single;315086
Dalumværket;3;139,2;16,5945015;5700;129,4;Volume;175;1,4;4;29,04037762;81,53227182;Bottom aeration;1,815333333;2,796106892;37,55;86,25269757;850,0000085;1,51;343,4872691;2,270171535;44,65334498;6,696452819;59,93485342;Gravity;Single;994198
Egedal Vandværk;8;;5,651099682;1130,236301;;Time;;;;;;Cascade;1,973333333;;;89,37989434;;1,469;200,0028959;;;13,8551418;44,75138122;Gravity;Single;505805
Elstedværket;6;255,3;11,29500008;1877,420548;30;Time;142,5;0,8;40;16,09537511;61,28151678;Cascade;2,153333333;3,767153582;22,695;44,45453198;1105,166653;1,47;166,2169575;1,597937129;31,87250974;5,369068753;21,05263158;Gravity;Single;1370517
Esbjerg Vandværk;8;502;9,621127502;10500;38,7;Volume;;;;;15,33557551;Passive plate aerator;2,2;13,04420921;;83,20831209;;1,473;415,7516881;1,128732104;34,50739011;19,48441914;76,85185185;Pressure;Double;674385
Eskebjerg Vandværk;3;6,5;6;775;16,5;Volume;;;;;85,70951879;Cascade;1,913333333;1,083333333;;121,3469512;;;54,16666667;5,473024199;20;12,74429851;;Gravity;Double;48803
Follerup Vandværk;16;312;14,29999924;1500;45,8;Volume;105;1,2;35;15,0149992;76,43820981;Bottom aeration;1,986666667;2,727272873;23,1;54,75916206;604,555534;1,617;104,8951105;3,053349978;34,96503683;16,7723876;3,643724696;Gravity;Double;2089148
Fredensborgværket;6;165;9,960000992;1550;30;Volume;92,5;0,8;35;9,213000917;64,07465062;Cascade;2,253333333;5,522087804;20,1;35,45367526;258,4444467;2,033;140,562235;3,555961064;45,18071839;6,621064964;86,01398601;Gravity;Double;926135
Galten Vandværk;6;78;2,835287299;600,460274;21;Time;242;1;9;6,861395263;45,87562932;Air injection;2,02;13,7552198;31,68;18,09032313;2076,249999;;211,7811039;2,445295876;31,39011699;27,44320629;;Pressure;Triple;313459
Gjellerodde Vandværk;2;25;1,767145868;450;0,8;Volume;;;;;19,86255708;No primary aeration;2,066666667;7,073553026;;89,43045889;;;254,6479089;0,177015564;13,58122181;10,06919699;38,88888889;Pressure;Single;43499
Gudenå Vandværk - Nordskoven;3;92,1;13;5000;34;Volume;150;1;64;19,5;99,87877977;Other;1,92;2,361538462;38,11;48,60121952;1240,268849;1,451;384,6153846;0,680054305;24,61538462;16,30641162;9,523809524;Gravity;Single;805818
Gøttrup Vandværk;1;;3,141592654;;8;Volume;130;0,5;5;4,08407045;;Air injection;1,953333333;;;19,08135624;2295,833332;;;;;7,897984369;;Pressure;Single;177463
Hjorthøj Vandværk;4;;1,327322799;3750;;Volume;;;;;;Air injection;1,706666667;;;17,56124498;;;1130,094353;;;17,09435067;;Pressure;Double;153735
Holmehaveværket;8;744;25,92340088;5000;103,68;Volume;115;0,8;1,4;29,81191101;63,27958524;Bottom aeration;1,328666667;3,58749226;19,23;59,830096;937,499986;1,413;192,8759279;2,073609752;30,74442291;2,973661131;18,4501845;Gravity;Single;4124209
Holsted St. Vandværk;5;25;4,308;840;;Volume;;;;;73,8630137;Cascade;2,063333333;7,062146893;;21,88089131;;;338,9830508;;;51,98813056;;Mixed;Double;161760
Hornbæk Vandværk;9;35;18,4800005;6000;116,6666667;Volume;;1;20;;79,9086758;Bottom aeration;1,653333333;0,883838397;;174,5577624;;;454,5454611;3,5;;25,95820408;;Gravity;Double;245000
Hornsherredværket;12;546,524;24,5;46000;169,55;Volume;97,5;1,2;60;23,8875;76,09108662;Cascade;2,086666667;3,71785034;31,47;43,74626334;492,3412533;;489,7959184;;39,18367347;31,26081728;6,276150628;Gravity;Double;3642899
